Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Message Type,Navigation Message (Hex),Modified
-4000,24,24,302396.000,2364,4,60A4CE3F 24E57BFD 74069D13 A2A0CE95 D50647D8 6A8FCE76 95788687 B5598198 D080E524 88C52895 588C875C 3089D159 54018902 82C601D8 E85B2108 C14B4E16 04180085 F85C3550 9A557D26 71E940EB A7B08502 FDD21F41 A8AF3984 1C51FA0A 40881BE3 650C0DE0 B65550C5 1B4D5D6F C2D8536C 5202C965 0364B4D7 B1090001 273BA424 073A660C 055F6D70 34C384B2 0049336A 80D0500F E900484C 8AF07640 F7E50745 F6583042 C1C6AF06 051CDE10 5A4DBCEB 06A042EC 302613D6 1285643E 5E28DE00 2545A020 3635882E 002EC0AF 2478A0A0 1A86BD57 07E05462 E93A0779 E9000000,No
-4000,25,25,302396.000,2364,4,6582963F 24E57BFD 74049901 60A06ED6 B49147F8 6E56AE76 C734168F D06F19D8 70C2E0A1 80EC1A0F 680A1730 1580F45D 17213B10 EE5703B9 585311AE D0475C57 252C0A81 6A5F54E0 D235CF65 014F5BCA B2B8A506 AE828D50 ED3A7184 1E998B8A 43E02AF2 642A8EA1 B6471873 4A4C7FB5 9248022D 5701CC55 D9540486 D03E4B0C 21A9C024 441AE70E 017F6420 B491A911 084C3360 90E08203 6A00284E 11C056D0 DBD30565 56480042 C0E39B06 650C1C70 585DDCFB 06A0C47E 10060893 8387642E 5568DE00 2054A020 1664B81E 0162C7A4 244E29A0 0A86BD60 04A464A8 899E4510 4A000000,No
-4000,26,26,302396.000,2364,4,6AE87E3F 24E57BFD 740CD931 A2F04AC4 B82447B0 4C85AE72 C41DA285 D56B1AB8 D048E580 80C99844 38A89C19 1082DCFB D631BD0A AE670B9D 4A927188 5863CF5D 050E99E1 4C5F1057 9A144BFE 35FD4B8E A0E9E524 FCF71D40 E03B70A4 1A92EA08 42A93EE2 653E4FF1 265435D5 1B497BA6 86585305 E242CD63 D070A4D6 FC9D410D 35F2E434 1533C24D 0D6DB500 04C8E4B2 084D81F3 E0E0896F D90008DC 8AA040CB FAD70544 42D37042 4AE60A06 243E9540 7E5E99DA 06A166B5 10260BFF 2085641E 9D78DE02 6871AA20 063DE81E 400F53AC 247A7AE0 AA859542 0EA056A1 D99E0618 6A000000,No
-4000,27,27,302396.000,2364,4,6FCE263F 24E57BFD 740DDD31 3BC06CC5 F1A04CF1 5C46DE74 15782184 DC4B49F8 64D88815 89E4BA15 288ACD79 818AFCEB 1F410F4B C65102FC 4A52312A 986BED15 609ED0B0 6A1511C7 9270E96F 615F08E7 A1A08032 27D20901 E5AE3081 3810FA38 43E11ABA 441C8FF0 348515C3 116079A4 D6CA836D 714AE843 8A240206 909C0168 152AE486 443FD245 604F6D70 A61AADA2 0024B539 F0C6DA6F 7F0121D8 18E07048 D2700564 44D04044 DBEE1D06 649E8420 5A45FDC9 0689C23E 300098D3 37850C2E 5E68F892 2944A008 2027D898 820FC1AD 084CEAF0 A8C5BDF4 05CC466A F99EC531 5A000000,No
-4000,28,28,302396.000,2364,4,711BF63F 24E57BFD 740FDC05 B2B04E84 98A24E94 6CDE9E76 1658B08C B87B4198 64D9A807 81A58C84 488E4C70 848AFCDB C6312B49 E37600BC 78C9710A 194AEA1F 208A03C4 4E1E3D54 9A31EDAD 316B1186 04B0A190 FE863B11 E11D62C1 1C80BF18 43E83CFB 603E8491 04C75153 51447B25 F248C14C 4443CC77 835480C5 B5084944 05A19404 4432C407 447DED50 B4DB8D04 0A0881F3 D0440B02 6D0141EA 59A06059 F3F7076D 52903042 C9EA1D04 25A81410 584EB04C 0489C0FE 202093B2 83870CB8 56285893 28C7A208 0666D818 804265A7 085C33D0 0CC4F5D4 0DCC4429 F89A871D 4D000000,No
-4000,29,29,302396.000,2364,4,743DAE3F 24E57BFD 74069811 73A06A07 F42246D1 5A15DEF2 453CB0CE B85FD19C E041E090 C28D1CDD 6C9CD755 97C9D85D 45650981 A6424098 7E1875BC 9066EC55 413A1184 F8047D57 CB50DF76 15D912EA 33B8C1B2 6FC29B13 810A20A0 0E58BEA8 42CDBFF2 402A0784 24C534E4 12606F25 A6CA8044 D101EC65 99003607 908F0220 1521F422 461BF007 286F3524 B2108007 09641771 F056D34B 4C020968 D2B04241 FFC50624 709B6046 D2CE1906 4538CC20 5C579CD9 0681D225 602000F7 A085048A 85485802 4953A800 10EFF838 026264A5 005A7880 284790C0 0EC46072 A91E4731 CC000000,No
-4000,30,30,302396.000,2364,4,7B57463F 24E57BFD 740DB927 F8E04846 F93346B9 6C168ED4 17509786 B16B80B8 C0D98137 88C49C57 58389F74 9189D4D9 D5218911 ABF30B9D C8D23128 8226DE56 0088D290 481F51E4 9250D934 514D00AE 10F181A2 BFB30B03 858A3880 08C09AA8 41C0AAE8 400A07F1 86C45DF1 48604D7D 925AC261 D400E045 515426C6 D19B4224 23A3F402 C63F460E 295F2770 A208CC04 0B2D8170 C0F68B4A DE0300CC 92B06651 D6720644 E4886060 D2CB1C06 058C8C10 5C5DD16B 0681D0EE 202012D3 B387049E 0608F811 0945A200 3066F838 012651AF 006AF090 A804D050 04845638 D93A0770 FE000000,No
-4000,32,32,302396.000,2364,4,82932E3F 24E57BFD 740CB403 B1E04E95 F59545B9 68D49EC6 0511838E B46DDBC8 74498023 83E59C5D 589ECF59 238AB9F9 4551BBD9 A75200FD 4E80402E C3475C0D 642E0390 5A5D1167 D2345B25 145F53C3 30E1C582 FEF7AF51 88BE3284 1C58EF3A 02CC0EE9 642E5FC1 86051CF3 5A6C69E6 D6EA0001 C443E471 50109686 F9BF4868 276BB082 C772F446 685B6E20 264BE131 0365A72B E0660B66 ED0328EA 42C05448 FB43064C 64C02060 D0EBBC04 250CD760 785FD9E8 06A040FE 503202B6 A3862498 CD08CA13 6967A060 24A5D8AA 434F70AE 204EF290 8E85BD57 0CE05621 990C8534 7A000000,No
-4000,33,33,302396.000,2364,4,87B5763F 24E57BFD 740D9031 70E0EC45 D4B34FD9 7C8DEE40 8734118C B949C3B8 D01BC5B5 8B848EC7 18BCC43C 8682D1FD 1E719DD2 ABD608DC 48D17008 5042FD0D 443C9BD0 FC4771E5 D855DF37 247941A3 05E0E4B6 A7C2B941 E1A83285 38C3DB28 02E0AAAB 441A9CE0 34063045 52487FF5 F258402C 7301C065 10508404 9C3A4B44 0370C420 4777D10E 445BEE00 140AC1A5 0A49B763 F0F0D02B CD0009EE 42904041 D3460405 529B1066 C3AA9804 051A8530 5C44F059 06A1F4A6 7032109B 828624BC 4C18CA13 4D54A260 36EF88AE 434260A6 207CF8D0 0A85F465 04E84060 9988053C 7D000000,No
-4000,34,34,302396.000,2364,4,88DF9E3F 24E57BFD 740EF803 7BF04845 910746FD 689DCE50 0679A786 F55F19E8 640BA517 88A9A85E 68BE9E38 B783F9F9 07618B5B A7E203B0 7CC0318A 9343DF16 20BA93D0 EE1E3563 99705BBC 204F1ACB 04F1C0A2 B7978913 C9B938C0 3AD8CBB8 418D1FA1 602E4EE5 B4C551D3 59405B67 D2D88301 5409CC57 194080C4 F4BA4348 2121F4B4 471B400E 456F2524 248AC590 0048A333 9074480F 580209E8 5B80525B F3E6070C 60913060 D1AF1D06 458A8730 7A4C98DB 048944BF 40009B9B 96870D98 4D58F892 61F0A008 3427C898 8047E3A6 0C5CE3D0 B886D540 058C50A9 C8AAC750 5C000000,No
