Elapsed Time (ms),Skydel SV ID,Slot,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
6000,9,9,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,10,10,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,11,11,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,12,12,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,13,13,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,14,14,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,15,15,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,16,16,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,17,17,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,18,18,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,19,19,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,20,20,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,21,21,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,22,22,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,23,23,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,24,24,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
8000,1,1,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,2,2,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,3,3,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,4,4,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,5,5,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,6,6,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,7,7,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,8,8,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,9,9,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,10,10,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,11,11,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,12,12,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,13,13,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,14,14,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,15,15,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,16,16,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,17,17,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
